label,fname,manually_verified,freesound_id,license
Knock,003da8e5.wav,1,164564,Creative Commons 0
Computer_keyboard,0063ab88.wav,0,210304,Creative Commons 0
Keys_jangling,0075d39c.wav,0,134885,Attribution
Laughter,0097160c.wav,1,343867,Creative Commons 0
Laughter,00ad7068.wav,0,42843,Attribution
Laughter,00c934d7.wav,1,179989,Attribution
Cough,00d1fe46.wav,0,93029,Creative Commons 0
Keys_jangling,022092bc.wav,0,167876,Creative Commons 0
Knock,022cc908.wav,1,193861,Creative Commons 0
Computer_keyboard,02328c03.wav,0,319326,Creative Commons 0
Laughter,024a193f.wav,1,209210,Creative Commons 0
Keys_jangling,0256c2f2.wav,1,336200,Creative Commons 0
Knock,025f7eac.wav,1,103999,Creative Commons 0
Keys_jangling,029b22f3.wav,0,9232,Attribution
Cough,02d6b747.wav,1,98676,Creative Commons 0
Keys_jangling,0350156b.wav,0,220420,Attribution
Knock,03a01285.wav,1,182039,Attribution
Knock,03d00f38.wav,0,345312,Creative Commons 0
Laughter,041396a9.wav,1,60606,Creative Commons 0
Laughter,0447d04d.wav,0,244331,Creative Commons 0
Cough,047b3d34.wav,0,180046,Attribution
Finger_snapping,0496718e.wav,1,346786,Attribution
Knock,04a7003c.wav,1,349307,Creative Commons 0
Knock,04ad9aa5.wav,1,349295,Creative Commons 0
Knock,04d0cae4.wav,0,349284,Creative Commons 0
Finger_snapping,051138fc.wav,1,346794,Attribution
Knock,05149415.wav,1,113131,Creative Commons 0
Knock,06006fca.wav,0,193832,Creative Commons 0
Computer_keyboard,060b8c30.wav,0,153246,Attribution
Finger_snapping,060ba089.wav,1,346810,Attribution
Laughter,0632d921.wav,0,260825,Creative Commons 0
Computer_keyboard,065e7bb4.wav,0,167256,Attribution
Laughter,06712325.wav,0,351424,Creative Commons 0
Finger_snapping,06b9dc31.wav,1,325265,Creative Commons 0
Finger_snapping,06feb8ea.wav,0,16451,Creative Commons 0
Laughter,0733ce78.wav,0,72837,Attribution
Finger_snapping,0779162e.wav,1,161268,Attribution
Knock,0784c182.wav,1,144947,Creative Commons 0
Cough,07ec6849.wav,0,125403,Creative Commons 0
Keys_jangling,081c263d.wav,1,336198,Creative Commons 0
Knock,08c931f6.wav,0,349306,Creative Commons 0
Computer_keyboard,08d931c3.wav,1,379073,Creative Commons 0
Cough,09282dc5.wav,0,9297,Creative Commons 0
Keys_jangling,096b4d70.wav,0,258074,Creative Commons 0
Knock,097b5ab0.wav,1,193844,Creative Commons 0
Laughter,098c2232.wav,0,273925,Attribution
Computer_keyboard,0994e80c.wav,1,155575,Creative Commons 0
Laughter,09986ba4.wav,0,72843,Attribution
Cough,09a355a9.wav,0,19116,Attribution
Keys_jangling,09a585bf.wav,1,235614,Creative Commons 0
Computer_keyboard,09b901f8.wav,1,380170,Attribution
Finger_snapping,0a6dbf2c.wav,1,361747,Creative Commons 0
Knock,0aa17642.wav,1,211502,Attribution
Computer_keyboard,0acba147.wav,1,120567,Attribution
Cough,0b142b38.wav,0,196283,Creative Commons 0
Finger_snapping,0b3c0588.wav,1,216660,Creative Commons 0
Cough,0b3d7a19.wav,0,171542,Attribution
Cough,0b5b6734.wav,0,218306,Creative Commons 0
Keys_jangling,0b5ea11d.wav,0,260845,Attribution
Knock,0b95a1b5.wav,1,193842,Creative Commons 0
Laughter,0ba8bcc2.wav,0,30281,Attribution
Keys_jangling,0bb6b85a.wav,0,25308,Creative Commons 0
Keys_jangling,0bc522f3.wav,1,134884,Attribution
Laughter,0bd9f47b.wav,1,132816,Attribution
Finger_snapping,0c2f1a54.wav,1,361769,Creative Commons 0
Knock,0c3e92c7.wav,0,258385,Attribution
Keys_jangling,0c4948ba.wav,0,156178,Creative Commons 0
Laughter,0ca8b59b.wav,1,15291,Attribution
Laughter,0cbfebc7.wav,0,277597,Attribution
Finger_snapping,0cc4c3b7.wav,0,361761,Creative Commons 0
Laughter,0cdfa126.wav,1,344025,Creative Commons 0
Knock,0da86798.wav,1,349299,Creative Commons 0
Laughter,0dc26ae9.wav,1,111161,Attribution
Computer_keyboard,0dd326ca.wav,0,228602,Creative Commons 0
Knock,0e5c9ed0.wav,0,32297,Attribution
Keys_jangling,0e7f9fdb.wav,0,32940,Creative Commons 0
Knock,0e89fb66.wav,0,193855,Creative Commons 0
Laughter,0ec012fc.wav,0,62263,Attribution
Keys_jangling,0f444884.wav,0,175667,Attribution
Laughter,0f6e2a63.wav,0,173933,Creative Commons 0
Laughter,0f7f0d86.wav,0,92408,Attribution
Cough,0ff26813.wav,0,23092,Attribution
Knock,0ff3a423.wav,0,244983,Creative Commons 0
Finger_snapping,105f4e16.wav,1,177497,Attribution
Knock,1071fd84.wav,1,349304,Creative Commons 0
Keys_jangling,1152dffc.wav,0,257746,Creative Commons 0
Finger_snapping,11782c39.wav,0,117117,Creative Commons 0
Computer_keyboard,11d883c3.wav,1,179385,Attribution
Laughter,11e63946.wav,1,241539,Creative Commons 0
Cough,11f33ae4.wav,1,343913,Creative Commons 0
Cough,12323e04.wav,0,142604,Creative Commons 0
Knock,125e64b7.wav,0,349310,Creative Commons 0
Cough,12d43904.wav,0,177286,Creative Commons 0
Knock,1387ba89.wav,1,144948,Creative Commons 0
Laughter,14577fc0.wav,1,92377,Attribution
Cough,146fd7fd.wav,0,260907,Creative Commons 0
Knock,14d0bd27.wav,0,370916,Attribution
Finger_snapping,14d18455.wav,0,119147,Creative Commons 0
Knock,14e27632.wav,0,237937,Creative Commons 0
Finger_snapping,14f13e6f.wav,1,346809,Attribution
Laughter,1516d630.wav,0,169806,Attribution
Computer_keyboard,151b80e7.wav,1,379100,Creative Commons 0
Keys_jangling,155b4487.wav,1,85121,Attribution
Knock,15d67d1c.wav,0,164565,Creative Commons 0
Cough,16670642.wav,0,331056,Attribution
Knock,168adcd0.wav,0,53268,Attribution
Computer_keyboard,169192c3.wav,0,266776,Creative Commons 0
Finger_snapping,169acff4.wav,1,361760,Creative Commons 0
Laughter,16caff03.wav,0,177066,Creative Commons 0
Laughter,16d51b04.wav,0,203528,Creative Commons 0
Knock,1726fa04.wav,0,260224,Creative Commons 0
Laughter,174baf55.wav,0,152911,Attribution
Cough,1755b07f.wav,0,19804,Attribution
Cough,1775d5a0.wav,0,148211,Creative Commons 0
Cough,17898a27.wav,0,351154,Creative Commons 0
Knock,182919ec.wav,1,349243,Attribution
Cough,182d509a.wav,1,331052,Attribution
Cough,18829f93.wav,1,337678,Creative Commons 0
Laughter,188cfb1b.wav,1,92368,Attribution
Laughter,18950b86.wav,0,204703,Attribution
Cough,18e0caac.wav,0,164341,Creative Commons 0
Knock,193ab4fd.wav,0,69888,Creative Commons 0
Cough,193e878a.wav,0,318079,Creative Commons 0
Knock,1966b87b.wav,0,182023,Attribution
Laughter,196c8a34.wav,0,162860,Attribution
Keys_jangling,197fe6b5.wav,1,145383,Creative Commons 0
Keys_jangling,1a6fce36.wav,0,205083,Creative Commons 0
Laughter,1a707aaf.wav,1,92381,Attribution
Cough,1a86eff7.wav,0,323699,Creative Commons 0
Laughter,1b246359.wav,0,1791,Attribution
Knock,1b3b537f.wav,0,349288,Creative Commons 0
Knock,1b9ea226.wav,0,53273,Attribution
Knock,1bd3ba0b.wav,1,135428,Creative Commons 0
Knock,1bda949f.wav,0,34261,Attribution
Knock,1c603b9f.wav,1,342551,Creative Commons 0
Laughter,1cccb873.wav,1,132807,Attribution
Knock,1cd6919e.wav,0,104000,Creative Commons 0
Keys_jangling,1d542616.wav,1,336197,Creative Commons 0
Knock,1d95d110.wav,0,218988,Attribution
Laughter,1dc3679a.wav,0,60794,Attribution
Computer_keyboard,1de324d8.wav,0,380702,Creative Commons 0
Computer_keyboard,1e275fbc.wav,1,333575,Creative Commons 0
Finger_snapping,1ec7f0f3.wav,1,137104,Creative Commons 0
Knock,1eddce43.wav,1,193849,Creative Commons 0
Laughter,1f83b349.wav,0,135185,Creative Commons 0
Cough,1f9b86a0.wav,0,331058,Attribution
Knock,1fee5016.wav,0,169580,Attribution
Finger_snapping,1ff5a0be.wav,0,140055,Attribution
Finger_snapping,2049c17b.wav,0,80743,Attribution
Laughter,2072ebd5.wav,1,42845,Attribution
Keys_jangling,20889068.wav,0,235466,Creative Commons 0
Cough,20890d27.wav,1,180040,Attribution
Laughter,20c9fd28.wav,0,30043,Attribution
Knock,20dafbd4.wav,0,182034,Attribution
Keys_jangling,20e4c84a.wav,1,340887,Attribution
Knock,210f2580.wav,0,193870,Creative Commons 0
Finger_snapping,2153d27e.wav,1,148092,Creative Commons 0
Keys_jangling,21909da5.wav,0,235564,Creative Commons 0
Knock,21fbdc6d.wav,0,251426,Creative Commons 0
Knock,22007c10.wav,0,133889,Creative Commons 0
Laughter,22e83dcb.wav,1,241537,Creative Commons 0
Laughter,234a0656.wav,0,223521,Creative Commons 0
Laughter,2372eeb4.wav,0,47372,Attribution
Knock,23786ab2.wav,0,208695,Creative Commons 0
Cough,237e1078.wav,0,148208,Creative Commons 0
Cough,23b6d45c.wav,0,346648,Attribution
Laughter,23b8788a.wav,0,82386,Attribution
Cough,23ebf391.wav,0,26336,Attribution
Cough,24779e2d.wav,0,155905,Creative Commons 0
Laughter,2499fad5.wav,1,241525,Creative Commons 0
Laughter,2539611b.wav,0,156,Attribution
Cough,256bc358.wav,0,18742,Attribution
Knock,2588c966.wav,0,241644,Attribution
Knock,25c11b5d.wav,0,193837,Creative Commons 0
Laughter,25c99ad7.wav,0,155942,Attribution
Knock,2665dfa2.wav,1,193858,Creative Commons 0
Cough,266a279f.wav,1,211197,Attribution
Finger_snapping,26b82ff7.wav,0,346790,Attribution
Knock,26dd557f.wav,0,136544,Creative Commons 0
Keys_jangling,26f2aaee.wav,1,321476,Creative Commons 0
Keys_jangling,275018bb.wav,1,360694,Attribution
Cough,282aa031.wav,0,234858,Creative Commons 0
Cough,2846dc18.wav,0,342587,Creative Commons 0
Knock,28712a45.wav,1,103995,Creative Commons 0
Knock,28aa7f31.wav,0,31371,Attribution
Keys_jangling,28ab5413.wav,1,336203,Creative Commons 0
Knock,28b75c35.wav,1,251424,Creative Commons 0
Cough,28c13a63.wav,1,323693,Creative Commons 0
Keys_jangling,28d80cf6.wav,1,73092,Attribution
Knock,28e413d2.wav,0,250539,Creative Commons 0
Cough,29076655.wav,0,210733,Attribution
Computer_keyboard,2924977b.wav,1,332179,Attribution
Knock,29a016e0.wav,1,349291,Creative Commons 0
Computer_keyboard,29de4510.wav,1,155573,Creative Commons 0
Finger_snapping,2a069951.wav,0,235283,Creative Commons 0
Laughter,2ae34e2b.wav,0,213290,Attribution
Keys_jangling,2b2e2b89.wav,1,321483,Creative Commons 0
Laughter,2b6f431f.wav,0,4237,Attribution
Keys_jangling,2bfa6330.wav,1,152898,Creative Commons 0
Knock,2c560330.wav,0,82421,Creative Commons 0
Knock,2cb63f61.wav,0,232923,Creative Commons 0
Computer_keyboard,2d189f89.wav,1,158057,Attribution
Knock,2d336768.wav,0,349242,Attribution
Computer_keyboard,2d455eca.wav,0,215946,Attribution
Knock,2d4e60bd.wav,0,42728,Attribution
Cough,2d928ec4.wav,0,240375,Creative Commons 0
Laughter,2e1973a4.wav,0,60797,Attribution
Laughter,2e2fa0bf.wav,1,174625,Attribution
Keys_jangling,2e6df938.wav,0,9185,Attribution
Cough,2e7a4dc2.wav,1,184871,Creative Commons 0
Computer_keyboard,2eb1e5f9.wav,0,331347,Creative Commons 0
Knock,2ed3c63d.wav,1,182041,Attribution
Laughter,2f06441d.wav,0,344001,Creative Commons 0
Finger_snapping,3009e783.wav,0,336938,Creative Commons 0
